order_id,order_date,customer_id,product_id,quantity,unit_price,discount_rate
1001,2026-01-01,C001,P001,1,1200.00,0.10
1002,2026-01-01,C002,P002,2,80.00,0.00
1003,2026-01-02,C003,P003,1,250.00,0.05
1004,2026-01-02,C004,P004,1,500.00,0.10
1005,2026-01-03,C005,P005,2,300.00,0.15
1006,2026-01-03,C006,P006,3,40.00,0.05
1007,2026-01-04,C007,P007,1,180.00,0.00
1008,2026-01-04,C008,P008,2,90.00,0.10
1009,2026-01-05,C009,P009,4,35.00,0.00
1010,2026-01-05,C010,P010,5,20.00,0.05
1011,2026-01-06,C001,P005,1,300.00,0.05
1012,2026-01-06,C002,P001,1,1200.00,0.15
1013,2026-01-07,C003,P002,2,80.00,0.10
1014,2026-01-07,C004,P006,2,40.00,0.00
1015,2026-01-08,C005,P003,1,250.00,0.20
1016,2026-01-08,C006,P004,1,500.00,0.05
1017,2026-01-09,C007,P008,1,90.00,0.00
1018,2026-01-09,C008,P009,3,35.00,0.10
1019,2026-01-10,C009,P010,6,20.00,0.00
1020,2026-01-10,C010,P007,2,180.00,0.05
1021,2026-01-11,C001,P006,2,40.00,0.10
1022,2026-01-11,C002,P005,1,300.00,0.00
1023,2026-01-12,C999,P001,1,1200.00,0.10
1024,2026-01-12,C003,P999,1,200.00,0.05
1025,2026-01-13,C004,P004,0,500.00,0.10
1026,2026-01-13,C005,P005,1,-300.00,0.10
1027,01/14/2026,C006,P006,2,40.00,0.00
1028,2026-01-14,C007,P007,1,180.00,1.25
1029,2026-01-15,C008,P008,-2,90.00,0.10
1030,2026-01-15,C009,P009,abc,35.00,0.05
